buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-08-06,2024-08-21,400.01,424.01,2,2.97,45.034
2024-09-09,2024-09-20,407.12,437.05,2,3.04,56.821
2024-10-08,2024-10-15,410.9,422.2,2,3.0,19.601
2024-11-01,2024-11-08,409.0,425.41,2,3.0,29.816
2024-11-22,2024-12-18,411.02,451.3,3,4.66,116.183
2025-01-03,2025-01-07,421.08,429.11,3,4.59,19.499
2025-01-15,2025-01-29,419.13,446.69,3,4.68,78.005
2025-03-04,2025-03-06,383.55,394.04,3,4.2,27.271
2025-03-14,2025-03-26,379.78,395.0,3,4.18,41.476
2025-04-09,2025-04-10,353.42,382.06,4,5.3,109.265
2025-04-22,2025-05-20,363.27,455.44,4,5.89,362.785
2025-05-27,2025-06-27,456.48,497.54,4,6.87,157.371
2025-07-03,2025-07-18,493.81,514.28,4,7.26,74.622
