buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-08-06,2024-09-03,600.62,700.1,2,4.68,194.277
2024-09-09,2024-09-25,673.06,721.0,2,5.02,90.861
2024-10-18,2024-10-22,737.64,765.68,2,5.41,50.668
2024-12-19,2024-12-26,908.18,928.4,2,6.61,33.828
2025-01-15,2025-02-18,836.76,1060.0,2,6.83,439.652
2025-03-11,2025-03-26,867.35,993.81,2,6.7,246.22
2025-04-07,2025-05-05,829.23,1114.8,3,10.5,846.212
2025-05-13,2025-06-06,1114.46,1259.41,3,12.82,422.031
2025-07-21,2025-07-21,1206.0,1206.0,3,13.02,-13.025
