buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-07-26,2024-08-01,180.39,189.28,5,3.33,41.123
2024-08-06,2024-08-22,161.74,181.38,6,3.71,114.134
2024-08-29,2024-09-03,173.22,177.55,6,3.79,22.192
2024-09-09,2024-09-25,174.53,193.75,6,3.98,111.343
2024-10-08,2024-11-14,181.97,214.14,7,4.99,220.199
2024-11-25,2024-12-17,199.27,232.39,7,5.44,226.401
2024-12-19,2025-01-07,225.21,227.82,7,5.71,12.562
2025-01-15,2025-02-05,222.83,236.97,7,5.79,93.187
2025-03-19,2025-03-26,193.27,205.95,9,6.47,107.653
2025-04-09,2025-05-14,172.12,211.45,11,7.59,425.035
2025-05-27,2025-06-11,203.09,217.41,11,8.33,149.194
2025-06-24,2025-07-21,212.23,225.84,11,8.67,141.036
