past_window,trade_window,final_cap
8,1,1136.82432
7,1,1136.82432
6,1,1136.82432
3,1,1112.9218239999998
4,1,1112.9218239999998
4,3,1094.9399799999999
5,3,1094.9399799999999
6,3,1094.9399799999999
7,2,1083.3464099999999
5,2,1083.3464099999999
6,2,1083.3464099999999
5,4,1070.0963199999999
3,4,1070.0963199999999
4,4,1070.0963199999999
5,1,1024.78732
4,5,1006.115008
3,5,1006.115008
5,5,1000.0
8,2,1000.0
9,4,1000.0
9,3,1000.0
9,2,1000.0
9,1,1000.0
8,5,1000.0
8,4,1000.0
8,3,1000.0
7,5,1000.0
7,4,1000.0
7,3,1000.0
6,5,1000.0
6,4,1000.0
9,5,1000.0
3,2,996.4456960000001
3,3,972.205576
4,2,969.9032480000001
