past_window,trade_window,final_cap
3,1,1052.957936
6,1,1052.957936
8,1,1052.957936
4,1,1052.957936
7,1,1052.957936
5,1,1052.957936
7,2,1020.2737520000001
3,2,1020.2737520000001
6,2,1020.2737520000001
5,2,1020.2737520000001
4,2,1020.2737520000001
5,3,1010.875056
6,3,1010.875056
4,3,1010.875056
3,3,1010.875056
7,3,1000.0
8,2,1000.0
8,3,1000.0
9,1,1000.0
9,2,1000.0
9,3,1000.0
