short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-07-24,2024-07-29,173.65,168.86,6,3.7,25.041
2024-08-01,2024-08-07,170.15,161.2,7,4.18,58.475
2024-08-21,2024-09-11,165.14,149.92,7,3.97,102.57
2024-09-23,2024-09-26,164.28,163.64,8,4.72,0.398
2024-10-07,2024-10-10,167.72,160.75,8,4.73,51.03
2024-10-16,2024-10-25,164.53,163.53,8,4.72,3.276
2024-10-31,2024-11-05,173.16,169.43,8,4.93,24.907
2024-11-13,2024-11-25,180.46,166.07,8,4.99,110.13
2024-12-17,2024-12-19,197.25,191.84,7,4.9,32.967
2024-12-26,2025-01-02,195.14,190.65,8,5.56,30.365
2025-01-07,2025-01-15,197.07,193.14,8,5.62,25.821
2025-02-05,2025-02-13,191.08,184.17,8,5.4,49.876
2025-03-10,2025-03-19,168.35,161.76,10,5.94,59.958
2025-03-26,2025-04-09,169.0,144.42,10,5.64,240.158
2025-04-15,2025-04-22,159.12,148.89,12,6.65,116.107
2025-04-28,2025-05-01,162.43,160.48,13,7.56,17.794
2025-05-06,2025-05-08,162.17,154.73,13,7.42,89.305
2025-05-28,2025-06-04,173.06,166.74,12,7.34,68.5
2025-06-11,2025-06-24,179.85,166.98,12,7.49,146.948
2025-07-07,2025-07-09,179.06,175.25,13,8.29,41.239
