short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-07-23,2024-07-25,121.84,117.78,8,3.45,29.029
2024-07-30,2024-08-13,123.57,81.43,8,2.95,334.168
2024-08-20,2024-09-05,89.24,72.78,15,4.37,242.525
2024-09-12,2024-09-26,67.86,64.64,23,5.49,68.574
2024-10-01,2024-10-11,67.06,56.71,24,5.35,243.053
2024-10-30,2024-11-18,54.4,38.33,35,5.84,556.608
2024-12-10,2024-12-11,45.23,41.9,54,8.47,171.351
2025-01-08,2025-01-17,47.6,33.89,55,8.07,745.982
2025-01-29,2025-02-13,43.26,31.01,78,10.43,945.072
2025-02-20,2025-03-04,36.23,29.77,119,14.14,754.603
2025-03-11,2025-03-12,36.0,34.41,141,17.87,206.32
2025-03-25,2025-04-11,34.31,24.69,154,16.35,1465.125
2025-04-15,2025-04-21,26.82,24.03,252,23.07,680.014
2025-05-01,2025-05-08,27.69,24.33,268,25.09,875.386
2025-05-13,2025-05-16,25.6,23.87,324,28.85,531.669
2025-05-21,2025-06-06,27.9,26.21,317,30.88,504.855
2025-06-10,2025-06-20,27.86,25.71,335,32.3,687.947
2025-07-11,2025-07-21,34.04,31.53,295,34.82,705.632
