short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-07-23,2024-08-08,32.96,19.1,30,2.81,412.989
2024-09-03,2024-09-09,21.54,18.99,65,4.74,161.008
2024-09-27,2024-11-01,24.16,22.99,65,5.52,70.533
2024-11-08,2024-12-20,26.0,18.98,63,5.1,437.159
2025-01-23,2025-02-10,21.69,19.25,95,7.0,224.799
2025-02-19,2025-03-12,25.96,20.81,88,7.41,445.792
2025-03-19,2025-04-09,24.89,18.07,110,8.51,741.694
2025-05-14,2025-06-02,22.35,19.49,156,11.75,434.411
2025-07-11,2025-07-21,23.56,23.43,166,14.04,7.539
