past_window,trade_window,final_cap
3,1,1458.9421259999997
8,1,1430.8250159999998
6,1,1430.8250159999998
7,1,1430.8250159999998
9,1,1430.8250159999998
4,1,1430.8250159999998
5,1,1430.8250159999998
7,2,1316.87412
5,2,1316.87412
8,2,1316.87412
3,2,1316.87412
4,2,1316.87412
9,2,1316.87412
6,2,1316.87412
8,3,1136.988978
7,3,1136.988978
9,3,1136.988978
6,3,1136.988978
4,3,1136.988978
3,3,1136.988978
5,3,1136.988978
6,4,1081.27931
9,4,1081.27931
3,4,1081.27931
8,4,1081.27931
4,4,1081.27931
7,4,1081.27931
5,4,1081.27931
6,5,1035.661324
4,5,1035.661324
7,5,1035.661324
8,5,1035.661324
3,5,1035.661324
5,5,1035.661324
9,5,1035.661324
